MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
30.0,3.0,60.0,6324.0,1.0,0.0,3.0,4.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,6.0,1927.0,1950.0,1.0,0.0,6.0,7.0,2.0,0.0,3.0,3.0,0.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,520.0,520.0,0.0,1.0,0.0,3.0,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,5.0,0.0,5.0,1920.0,2.0,1.0,240.0,1.0,4.0,2.0,49.0,0.0,87.0,0.0,0.0,0.0,0.0,5.0,2008.0,5.0,2.0,77738.08
20.0,2.0,66.4251012145749,9503.0,1.0,3.0,3.0,4.0,0.0,11.0,2.0,0.0,0.0,2.0,5.0,5.0,1958.0,1983.0,3.0,0.0,5.0,5.0,2.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,457.0,4.0,374.0,193.0,1024.0,0.0,3.0,1.0,3.0,1344.0,0.0,0.0,1344.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,6.0,2.0,1.0,5.0,1970.0,2.0,1.0,484.0,4.0,4.0,2.0,316.0,28.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,5.0,2.0,152684.49
20.0,2.0,100.0,21750.0,1.0,3.0,1.0,4.0,1.0,10.0,0.0,0.0,0.0,2.0,5.0,5.0,1954.0,1954.0,3.0,0.0,5.0,5.0,2.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,988.0,988.0,0.0,0.0,1.0,0.0,988.0,0.0,0.0,988.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,4.0,5.0,0.0,1.0,1954.0,1.0,2.0,520.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,5.0,2.0,130271.18
20.0,2.0,50.0,35133.0,0.0,3.0,3.0,4.0,1.0,22.0,2.0,0.0,0.0,2.0,5.0,4.0,1963.0,1963.0,3.0,0.0,6.0,7.0,1.0,226.0,3.0,3.0,1.0,3.0,2.0,1.0,4.0,1159.0,5.0,0.0,413.0,1572.0,0.0,2.0,1.0,3.0,1572.0,0.0,0.0,1572.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,5.0,5.0,2.0,0.0,1963.0,1.0,3.0,995.0,4.0,4.0,2.0,0.0,263.0,0.0,0.0,263.0,0.0,0.0,5.0,2007.0,5.0,2.0,174292.0
20.0,2.0,110.0,14226.0,1.0,3.0,3.0,0.0,0.0,15.0,2.0,0.0,0.0,2.0,8.0,5.0,2006.0,2006.0,3.0,0.0,9.0,11.0,1.0,375.0,2.0,3.0,2.0,2.0,2.0,0.0,5.0,0.0,5.0,0.0,1935.0,1935.0,0.0,2.0,1.0,3.0,1973.0,0.0,0.0,1973.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,9.0,5.0,1.0,1.0,2006.0,0.0,3.0,895.0,4.0,4.0,2.0,315.0,45.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,4.0,3.0,277916.39
50.0,2.0,50.0,8405.0,1.0,3.0,3.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,8.0,1900.0,1950.0,1.0,0.0,6.0,7.0,2.0,0.0,3.0,3.0,0.0,3.0,1.0,3.0,4.0,241.0,1.0,391.0,229.0,861.0,0.0,0.0,1.0,3.0,961.0,406.0,0.0,1367.0,1.0,0.0,1.0,0.0,4.0,1.0,3.0,7.0,5.0,0.0,5.0,1978.0,2.0,1.0,384.0,4.0,4.0,2.0,0.0,130.0,112.0,0.0,0.0,0.0,0.0,4.0,2008.0,5.0,2.0,127465.92
20.0,2.0,66.4251012145749,8780.0,1.0,0.0,3.0,0.0,0.0,10.0,2.0,0.0,0.0,2.0,5.0,5.0,1985.0,1985.0,1.0,0.0,5.0,8.0,2.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,625.0,5.0,0.0,208.0,833.0,0.0,0.0,1.0,3.0,833.0,0.0,0.0,833.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,5.0,5.0,0.0,1.0,1979.76,2.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2009.0,5.0,2.0,113224.34
20.0,2.0,70.0,9100.0,1.0,3.0,3.0,0.0,0.0,11.0,1.0,0.0,0.0,2.0,5.0,5.0,1958.0,1958.0,1.0,0.0,9.0,11.0,2.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,521.0,3.0,174.0,169.0,864.0,0.0,3.0,1.0,3.0,864.0,0.0,0.0,864.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,5.0,5.0,0.0,5.0,1964.0,2.0,2.0,624.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2006.0,5.0,2.0,126209.43
160.0,1.0,35.0,3735.0,1.0,3.0,3.0,3.0,0.0,20.0,2.0,0.0,4.0,5.0,7.0,5.0,1999.0,1999.0,3.0,0.0,6.0,7.0,1.0,218.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,450.0,5.0,0.0,241.0,691.0,0.0,0.0,1.0,3.0,713.0,739.0,0.0,1452.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,6.0,5.0,0.0,5.0,1999.0,2.0,2.0,506.0,4.0,4.0,2.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,2006.0,5.0,2.0,170355.32
160.0,2.0,44.0,5306.0,1.0,0.0,3.0,4.0,0.0,21.0,2.0,0.0,4.0,5.0,7.0,7.0,1987.0,1987.0,1.0,0.0,5.0,5.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,495.0,4.0,215.0,354.0,1064.0,0.0,2.0,1.0,3.0,1064.0,703.0,0.0,1767.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,5.0,5.0,1.0,1.0,1987.0,1.0,2.0,504.0,2.0,4.0,2.0,441.0,35.0,0.0,0.0,0.0,0.0,0.0,6.0,2006.0,5.0,2.0,203661.83
70.0,3.0,50.0,9000.0,1.0,3.0,3.0,4.0,0.0,16.0,0.0,0.0,0.0,5.0,7.0,9.0,1920.0,1988.0,3.0,0.0,9.0,11.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,624.0,5.0,0.0,26.0,650.0,0.0,0.0,1.0,3.0,832.0,650.0,0.0,1482.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,7.0,5.0,0.0,5.0,1930.0,2.0,2.0,324.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2009.0,5.0,2.0,158804.69
20.0,2.0,71.0,8197.0,1.0,3.0,3.0,4.0,0.0,18.0,2.0,0.0,0.0,2.0,6.0,5.0,1977.0,1977.0,1.0,0.0,7.0,8.0,1.0,148.0,3.0,3.0,1.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,660.0,660.0,0.0,0.0,1.0,3.0,1285.0,0.0,0.0,1285.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,7.0,5.0,1.0,1.0,1977.0,1.0,2.0,528.0,4.0,4.0,2.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2007.0,5.0,2.0,155629.0
20.0,2.0,66.4251012145749,10355.0,1.0,0.0,3.0,0.0,0.0,11.0,2.0,0.0,0.0,2.0,5.0,5.0,1967.0,1967.0,1.0,0.0,6.0,7.0,1.0,196.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,695.0,5.0,0.0,519.0,1214.0,0.0,3.0,1.0,3.0,1214.0,0.0,0.0,1214.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,5.0,5.0,1.0,1.0,1967.0,1.0,1.0,318.0,4.0,4.0,2.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,5.0,2.0,152576.5
190.0,3.0,70.0,5600.0,1.0,3.0,3.0,4.0,0.0,8.0,2.0,0.0,1.0,5.0,4.0,5.0,1930.0,1950.0,3.0,0.0,9.0,13.0,2.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,372.0,720.0,0.0,1092.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,7.0,4.0,0.0,1.0,1979.76,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,7.0,2010.0,5.0,2.0,106864.25
30.0,2.0,52.0,6292.0,1.0,3.0,0.0,4.0,0.0,17.0,2.0,0.0,0.0,2.0,6.0,5.0,1930.0,1950.0,1.0,0.0,10.0,12.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,2.0,4.0,384.0,5.0,0.0,384.0,768.0,0.0,3.0,0.0,3.0,790.0,0.0,0.0,790.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,4.0,5.0,0.0,5.0,1925.0,2.0,1.0,160.0,1.0,4.0,2.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,4.0,2008.0,5.0,2.0,97952.36
20.0,2.0,37.0,6951.0,1.0,0.0,3.0,1.0,0.0,10.0,2.0,0.0,0.0,2.0,5.0,5.0,1984.0,1985.0,1.0,0.0,5.0,8.0,2.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,658.0,5.0,0.0,218.0,876.0,0.0,3.0,1.0,3.0,923.0,0.0,0.0,923.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,5.0,5.0,0.0,1.0,1984.0,2.0,1.0,264.0,4.0,4.0,2.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2008.0,5.0,2.0,127341.85
60.0,2.0,62.0,7917.0,1.0,3.0,3.0,4.0,0.0,7.0,2.0,0.0,0.0,5.0,6.0,5.0,1999.0,2000.0,1.0,0.0,9.0,11.0,2.0,0.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,0.0,5.0,0.0,953.0,953.0,0.0,0.0,1.0,3.0,953.0,694.0,0.0,1647.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,7.0,5.0,1.0,1.0,1999.0,1.0,2.0,460.0,4.0,4.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,5.0,2.0,182846.85
20.0,2.0,78.0,7800.0,1.0,3.0,3.0,4.0,0.0,11.0,2.0,0.0,0.0,2.0,5.0,6.0,1954.0,1954.0,1.0,0.0,5.0,5.0,1.0,200.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,540.0,5.0,0.0,728.0,1268.0,0.0,2.0,1.0,3.0,1268.0,0.0,0.0,1268.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,7.0,5.0,1.0,1.0,1954.0,0.0,1.0,244.0,4.0,4.0,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,3.0,2010.0,5.0,2.0,150908.34
60.0,2.0,90.0,11700.0,1.0,3.0,3.0,0.0,0.0,13.0,2.0,0.0,0.0,5.0,6.0,6.0,1968.0,1968.0,1.0,0.0,5.0,5.0,1.0,420.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,404.0,5.0,0.0,304.0,708.0,0.0,2.0,1.0,3.0,708.0,708.0,0.0,1416.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,7.0,5.0,1.0,1.0,1968.0,1.0,2.0,776.0,4.0,4.0,2.0,0.0,169.0,0.0,0.0,119.0,0.0,0.0,5.0,2006.0,5.0,2.0,176062.35
30.0,3.0,60.0,9786.0,1.0,3.0,3.0,4.0,0.0,8.0,2.0,0.0,0.0,2.0,3.0,4.0,1922.0,1950.0,3.0,0.0,10.0,12.0,2.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,5.0,0.0,5.0,0.0,1007.0,1007.0,0.0,1.0,0.0,3.0,1077.0,0.0,0.0,1077.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,6.0,5.0,1.0,5.0,1922.0,2.0,1.0,210.0,4.0,1.0,1.0,0.0,100.0,48.0,0.0,0.0,0.0,0.0,5.0,2006.0,5.0,2.0,97271.0
90.0,3.0,68.0,8930.0,1.0,3.0,3.0,4.0,0.0,18.0,5.0,0.0,2.0,0.0,6.0,5.0,1978.0,1978.0,1.0,0.0,9.0,11.0,2.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1318.0,584.0,0.0,1902.0,0.0,0.0,2.0,0.0,4.0,2.0,3.0,8.0,5.0,0.0,1.0,1978.0,2.0,2.0,539.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2010.0,5.0,2.0,145019.32
20.0,2.0,67.0,10083.0,1.0,3.0,3.0,4.0,0.0,19.0,2.0,0.0,0.0,2.0,7.0,5.0,2003.0,2003.0,1.0,0.0,9.0,11.0,2.0,109.17182130584193,2.0,3.0,2.0,2.0,2.0,3.0,2.0,833.0,5.0,0.0,343.0,1176.0,0.0,0.0,1.0,3.0,1200.0,0.0,0.0,1200.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,5.0,5.0,0.0,1.0,2003.0,1.0,2.0,555.0,4.0,4.0,2.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,8.0,2009.0,5.0,2.0,198728.52
20.0,2.0,70.0,9100.0,1.0,3.0,3.0,4.0,0.0,4.0,2.0,0.0,0.0,2.0,7.0,5.0,2004.0,2005.0,3.0,0.0,9.0,11.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,24.0,5.0,0.0,1836.0,1860.0,0.0,0.0,1.0,3.0,1836.0,0.0,0.0,1836.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,8.0,5.0,1.0,1.0,2004.0,0.0,2.0,484.0,4.0,4.0,2.0,120.0,33.0,0.0,0.0,0.0,0.0,0.0,10.0,2006.0,5.0,2.0,229062.75
20.0,2.0,80.0,11900.0,1.0,0.0,3.0,0.0,0.0,11.0,2.0,0.0,0.0,2.0,6.0,5.0,1957.0,1957.0,1.0,0.0,5.0,5.0,1.0,387.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,1040.0,5.0,0.0,352.0,1392.0,0.0,3.0,1.0,0.0,1392.0,0.0,0.0,1392.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,6.0,5.0,2.0,1.0,1957.0,1.0,2.0,458.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,6.0,2008.0,5.0,2.0,161579.5
30.0,2.0,52.0,9022.0,1.0,3.0,3.0,4.0,0.0,16.0,2.0,0.0,0.0,2.0,5.0,8.0,1924.0,2006.0,1.0,0.0,9.0,11.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,768.0,768.0,0.0,0.0,1.0,3.0,792.0,0.0,0.0,792.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,5.0,5.0,0.0,5.0,1924.0,2.0,1.0,240.0,1.0,1.0,0.0,316.0,0.0,120.0,0.0,0.0,0.0,0.0,5.0,2009.0,5.0,2.0,116102.84
80.0,2.0,76.0,9967.0,1.0,0.0,3.0,4.0,0.0,7.0,2.0,0.0,0.0,7.0,7.0,5.0,2000.0,2000.0,1.0,0.0,9.0,11.0,2.0,0.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,0.0,5.0,0.0,384.0,384.0,0.0,0.0,1.0,3.0,774.0,656.0,0.0,1430.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,8.0,5.0,1.0,3.0,2000.0,1.0,2.0,400.0,4.0,4.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2007.0,5.0,2.0,177151.37
60.0,2.0,70.0,8462.0,1.0,0.0,3.0,4.0,0.0,19.0,2.0,0.0,0.0,5.0,6.0,5.0,1994.0,1994.0,1.0,0.0,5.0,5.0,1.0,105.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,814.0,5.0,0.0,114.0,928.0,0.0,0.0,1.0,3.0,936.0,785.0,0.0,1721.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,5.0,0.0,1.0,1994.0,1.0,2.0,471.0,4.0,4.0,2.0,300.0,87.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,5.0,2.0,196120.65
160.0,3.0,21.0,1680.0,1.0,3.0,3.0,4.0,0.0,1.0,2.0,0.0,3.0,5.0,5.0,7.0,1972.0,1972.0,1.0,0.0,4.0,4.0,1.0,268.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,231.0,5.0,0.0,399.0,630.0,0.0,3.0,1.0,3.0,630.0,672.0,0.0,1302.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,6.0,5.0,0.0,5.0,1972.0,2.0,1.0,264.0,4.0,4.0,2.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2009.0,5.0,2.0,119486.87
60.0,2.0,66.4251012145749,12936.0,1.0,0.0,3.0,1.0,0.0,13.0,2.0,0.0,0.0,5.0,6.0,6.0,1972.0,1972.0,1.0,0.0,5.0,8.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,593.0,5.0,0.0,130.0,723.0,0.0,3.0,1.0,3.0,735.0,660.0,0.0,1395.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,6.0,5.0,1.0,1.0,1972.0,2.0,2.0,497.0,4.0,4.0,2.0,294.0,116.0,0.0,0.0,0.0,0.0,0.0,12.0,2009.0,5.0,2.0,162090.0
160.0,2.0,24.0,2289.0,1.0,3.0,3.0,4.0,0.0,12.0,2.0,0.0,3.0,5.0,6.0,6.0,1978.0,1978.0,1.0,0.0,7.0,1.0,2.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,311.0,5.0,0.0,544.0,855.0,0.0,3.0,1.0,3.0,855.0,586.0,0.0,1441.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,7.0,5.0,1.0,1.0,1978.0,2.0,2.0,440.0,4.0,4.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2009.0,5.0,2.0,151418.0
20.0,3.0,50.0,6000.0,1.0,3.0,3.0,4.0,0.0,16.0,2.0,0.0,0.0,2.0,5.0,5.0,1948.0,1950.0,1.0,0.0,9.0,11.0,2.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,104.0,1.0,169.0,516.0,789.0,0.0,0.0,1.0,3.0,789.0,0.0,0.0,789.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,5.0,5.0,0.0,5.0,1948.0,2.0,1.0,250.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2008.0,5.0,3.0,110114.48
60.0,2.0,80.0,9200.0,1.0,3.0,3.0,4.0,0.0,14.0,2.0,0.0,0.0,5.0,8.0,5.0,1998.0,1998.0,1.0,0.0,9.0,11.0,1.0,473.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,986.0,5.0,0.0,484.0,1470.0,0.0,2.0,1.0,3.0,1470.0,1160.0,0.0,2630.0,1.0,0.0,2.0,1.0,4.0,1.0,2.0,8.0,5.0,1.0,1.0,1998.0,0.0,3.0,696.0,4.0,4.0,2.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,5.0,2.0,336653.31
